expid,model_name,Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp128,rbm,4.17224,19.31688,19.03643,0.986327109375,0.9231884155273438,0.9246666870117187,PF00240,9000,True,False,69,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,-64.569719402054261,-127.53905543958649,-125.67629820278341,-10.9721,-102.197,-100.419,0.0190605,0.379531,0.37203
exp180,dbm,116.70923,101.50115,101.91209,0.573609625,0.646222216796875,0.644592578125,PF00595,183000,False,False,81,500,500,0.5000,INVERSE_T,0.0100,0.5000,0.9000,,,,-119.383,-126.067,-126.454,,,
exp129,rbm,8.00073,12.70569,12.89334,0.972463875,0.95959501953125,0.95946669921875,PF00595,9000,True,False,81,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,-82.292147604042498,-130.4423554341156,-131.08680785790443,-28.737,-114.49,-115.424,0.0863241,0.395521,0.398113
exp366,dbm,133.68285,124.63568,125.05338,0.495659,0.546953076171875,0.546439501953125,PF00595,1000,False,True,81,500,500,0.1000,NONE,0.0100,0.0000,0.0000,,,,-130.913,-133.814,-134.389,0.49374,0.504961,0.507208
exp101,rbm,5.05671,19.82809,19.50380,0.98151578125,0.9217391357421875,0.9229710083007813,PF00240,2000,True,False,69,1000,None,0.5000,NONE,0.0010,0.5000,0.9000,-59.570782561971896,-123.86036060146398,-121.98551753469508,-12.7058,-105.394,-103.596,0.0307308,0.385919,0.377743
exp344,rbm,46.35457,49.75165,48.33747,0.80882828125,0.8152318725585938,0.8206376953125,PF00240,64000,True,False,69,1000,None,0.5000,NONE,0.0100,0.0000,0.0000,-90.956963414743086,-115.74084382095521,-114.18834041635893,-60.7241,-99.1157,-97.3293,0.257784,0.405933,0.39953
exp132,dbm,81.74372,46.62548,46.93399,0.7037345625,0.84710126953125,0.84773330078125,PF00595,3000,False,True,81,1000,1000,0.1000,NONE,0.0010,0.5000,0.9000,,,,-78.1537,-123.723,-124.552,,,
exp116,dbm,58.55526,61.92826,61.20203,0.739309140625,0.7440144653320313,0.7477101440429688,PF00240,200000,False,False,69,100,100,0.1000,NONE,0.0010,0.5000,0.9000,-104.51343833924875,-137.22996676984485,-135.28444456950785,-62.6717,-120.888,-118.609,0.269076,0.407719,0.401245
exp212,dbm,111.21792,104.49333,103.33088,0.519530234375,0.5711738891601562,0.5787825927734375,PF00240,1000,False,True,69,1000,1000,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-213.1934556343283,-223.36885962495512,-221.17008979806508,-109.161,-115.743,-114.412,0.466871,0.495974,0.488351
exp56,rbm,76.08983,77.95936,76.79866,0.687396796875,0.7029130249023438,0.7080579833984375,PF00240,79000,True,False,69,100,None,0.0100,NONE,0.0100,0.5000,0.9000,,,,-84.9413,-103.651,-102.192,0.348778,0.428802,0.422167
exp399,rbm,61.26832,52.05477,52.35434,0.7795815625,0.8462765625,0.846345703125,PF00595,100000,True,False,81,1000,None,0.0100,NONE,0.0100,0.0000,0.0000,-111.75135936253173,-125.00116165402233,-125.34977149100439,-88.5705,-110.63,-111.05,0.323416,0.407221,0.408078
exp201,rbm,64.68189,56.54543,56.86957,0.769273875,0.83397529296875,0.833683984375,PF00595,98000,True,False,81,500,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-112.5248472380988,-125.35412265037701,-125.75569863599446,-88.3059,-110.906,-111.348,0.316477,0.407657,0.408658
exp104,rbm,29.99623,32.46059,31.85373,0.86123203125,0.8726521606445312,0.8730869750976562,PF00240,6000,False,True,69,1000,None,0.5000,NONE,0.0010,0.5000,0.9000,-182.22959486223704,-271.23367587708276,-269.69731639118731,-22.4791,-130.678,-127.876,0.103658,0.403064,0.394978
exp12,rbm,74.87517,64.52872,64.65061,0.7319560625,0.795753076171875,0.796345703125,PF00595,5000,True,False,81,500,None,0.5000,NONE,0.0100,0.5000,0.9000,-120.22128803978643,-132.14031573768142,-132.56111443863682,-96.0994,-116.584,-116.97,0.356621,0.43138,0.433066
exp318,dbm,8.12579,20.88337,21.04785,0.9682770625,0.9292345703125,0.9289234375,PF00595,121000,True,False,81,1000,1000,0.0100,INVERSE_T,0.0010,0.5000,0.9000,-126.74935747523682,-210.03031812949666,-212.02227012686444,-65.9362,-316.872,-320.822,0.137698,0.453915,0.457992
exp57,dbm,113.94974,100.56066,100.98349,0.580143,0.652933349609375,0.651402490234375,PF00595,3000,True,False,81,100,100,0.0100,NONE,0.0100,0.5000,0.9000,-121.41410280307468,-126.43833511350738,-126.84810369072471,-116.599,-124.37,-124.756,0.430288,0.457442,0.459352
exp152,rbm,5.13894,18.12159,18.11429,0.9834875,0.9290579833984375,0.9304202880859375,PF00240,92000,False,False,69,500,None,0.0100,NONE,0.0010,0.5000,0.9000,-62.643222157625928,-119.75392341389204,-117.7457923297892,-11.9381,-103.418,-100.761,0.011733,0.391697,0.380945
exp207,dbm,101.32966,74.83646,74.90094,0.63717625,0.75237529296875,0.751960498046875,PF00595,1000,False,False,81,500,500,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-117.133,-133.235,-133.527,0.399542,0.443831,0.445053
exp294,dbm,82.80097,47.38262,47.68835,0.69951375,0.84525927734375,0.84600986328125,PF00595,3000,False,True,81,1000,1000,0.1000,INVERSE_T,0.0010,0.5000,0.9000,,,,-77.4548,-121.821,-122.491,0.267655,0.380992,0.383076
exp86,dbm,106.38379,96.75939,95.58419,0.52808,0.5863623046875,0.5939275512695312,PF00240,4000,False,True,69,100,100,0.5000,NONE,0.0010,0.5000,0.9000,,,,-94.7784,-105.751,-104.49,0.413697,0.453579,0.444967
exp147,dbm,22.89746,25.28804,25.39403,0.91122975,0.91266171875,0.9132345703125,PF00595,5000,True,False,81,500,500,0.0100,NONE,0.0010,0.5000,0.9000,,,,-75.9096,-254.525,-256.099,0.186603,0.450945,0.45295
exp116,rbm,46.27729,63.78139,62.61120,0.787798671875,0.7396087036132812,0.744797119140625,PF00240,79000,False,False,69,100,None,0.1000,NONE,0.0010,0.5000,0.9000,-87.123384248375999,-121.22379149454872,-119.81494386668584,-55.997,-111.227,-109.305,0.258204,0.434836,0.427853
exp63,rbm,100.92266,95.70822,95.93016,0.6360501875,0.68018271484375,0.679570361328125,PF00595,100000,False,False,81,100,None,0.0100,NONE,0.0100,0.5000,0.9000,-126.52583963442277,-132.38116072448264,-132.7271312061257,-112.327,-121.605,-121.924,0.412271,0.449379,0.450076
exp74,dbm,57.33284,55.63889,54.80607,0.750815390625,0.7898115844726562,0.7923768310546875,PF00240,1000,True,False,69,1000,1000,0.0100,NONE,0.0100,0.5000,0.9000,-94.090087783156605,-117.08648651539113,-115.291603228756,-66.943,-107.739,-105.826,0.27267,0.400005,0.392601
exp216,rbm,57.27064,48.04341,48.36925,0.7932855625,0.858083984375,0.85837529296875,PF00595,100000,False,False,81,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-111.76689719062142,-126.09192262904037,-126.51174009210445,-86.1578,-111.119,-111.583,0.3161,0.409808,0.410127
exp240,dbm,131.57302,118.30765,118.61320,0.50587240625,0.586019775390625,0.5858271484375,PF00595,1000,False,True,81,1000,1000,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-409.86641140959659,-417.13933130331202,-418.41015221070325,-127.594,-131.439,-131.885,0.475833,0.491844,0.492956
exp210,rbm,58.91166,50.90538,51.26304,0.7884769375,0.850330859375,0.85092841796875,PF00595,100000,True,False,81,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-85.3917,-109.53,-109.984,0.30993,0.403177,0.40372
